"epoch","Name: implicit - _step","Name: implicit - _step__MIN","Name: implicit - _step__MAX","Name: implicit - train/MSE","Name: implicit - train/MSE__MIN","Name: implicit - train/MSE__MAX","Name: explicit_transformerpred - _step","Name: explicit_transformerpred - _step__MIN","Name: explicit_transformerpred - _step__MAX","Name: explicit_transformerpred - train/MSE","Name: explicit_transformerpred - train/MSE__MIN","Name: explicit_transformerpred - train/MSE__MAX","Name: explicit_knownpred - _step","Name: explicit_knownpred - _step__MIN","Name: explicit_knownpred - _step__MAX","Name: explicit_knownpred - train/MSE","Name: explicit_knownpred - train/MSE__MIN","Name: explicit_knownpred - train/MSE__MAX"
"26","56","56","56","0.05384961031377315","0.04854508116841316","0.06495629996061325","56","56","56","0.05168960951268673","0.046567291021347046","0.06026635691523552","56","56","56","0.03606381304562092","0.025041555985808372","0.04369904845952988"
"27","58","58","58","0.052713464200496676","0.04982008412480354","0.05628357082605362","58","58","58","0.05150189660489559","0.04229486733675003","0.058609772473573685","58","58","58","0.033760696090757845","0.024798162281513214","0.04068602994084358"
"28","60","60","60","0.05121098607778549","0.04460877925157547","0.05692761391401291","60","60","60","0.049659700319170955","0.04046093672513962","0.05634821578860283","60","60","60","0.03178269285708666","0.020595580339431763","0.043420467525720596"
"29","62","62","62","0.05291101187467575","0.04636145755648613","0.06536583602428436","62","62","62","0.048484448343515396","0.037897031754255295","0.0553923062980175","62","62","62","0.03004029896110296","0.021448468789458275","0.03719798102974892"
"30","65","65","65","0.0512898925691843","0.046733442693948746","0.06394404172897339","65","65","65","0.04677950739860535","0.03796277940273285","0.05884280800819397","65","65","65","0.029814924485981463","0.024337703362107277","0.037038277834653854"
"31","67","67","67","0.050937651097774504","0.045750848948955536","0.05845952033996582","67","67","67","0.04813576526939869","0.03829348832368851","0.0533631257712841","67","67","67","0.028674247302114965","0.021437782794237137","0.03847554326057434"
"32","69","69","69","0.04960892088711262","0.043893225491046906","0.06531877815723419","69","69","69","0.04646599777042866","0.036245036870241165","0.053700171411037445","69","69","69","0.02768400274217129","0.02173076570034027","0.03438608720898628"
"33","71","71","71","0.04759632237255573","0.040556650608778","0.05724143236875534","71","71","71","0.04512367397546768","0.038084495812654495","0.05508507043123245","71","71","71","0.02773111630231142","0.022275444120168686","0.0338987335562706"
"34","73","73","73","0.04823909103870392","0.04241476580500603","0.055017270147800446","73","73","73","0.04461637102067471","0.035592686384916306","0.05125678330659866","73","73","73","0.02596544213593006","0.02077149599790573","0.030506089329719543"
"35","75","75","75","0.04724430181086063","0.04004044085741043","0.062083788216114044","75","75","75","0.040785372257232666","0.03344947472214699","0.049584515392780304","75","75","75","0.02588363513350487","0.02004660665988922","0.030988026410341263"
"36","77","77","77","0.04630850180983544","0.038811828941106796","0.054753225296735764","77","77","77","0.042543820291757586","0.03271971642971039","0.051857054233551025","77","77","77","0.025273757614195348","0.023415572941303253","0.02713117003440857"
"37","79","79","79","0.04539933800697327","0.0391785204410553","0.052848272025585175","79","79","79","0.04181646704673767","0.03179265931248665","0.049304068088531494","79","79","79","0.024324090965092183","0.02173628844320774","0.02697433903813362"
"38","81","81","81","0.045367156714200975","0.04038592427968979","0.05142257362604141","81","81","81","0.039459827914834024","0.02906123921275139","0.04893047362565994","81","81","81","0.022806306183338166","0.017535675317049026","0.02709043025970459"
"39","83","83","83","0.043708198517560956","0.037147752940654755","0.04767663776874542","83","83","83","0.0393760472536087","0.03226323053240776","0.04674113914370537","83","83","83","0.022536658495664597","0.017951717600226402","0.02648545801639557"
"40","86","86","86","0.04434296526014805","0.03677966445684433","0.05296195670962334","86","86","86","0.03974450118839741","0.03418362885713577","0.043979790061712265","86","86","86","0.022576952911913396","0.019154248759150505","0.027433345094323158"
"41","88","88","88","0.04231197163462639","0.034673504531383514","0.048105042427778244","88","88","88","0.03791595790535211","0.030780086293816566","0.044986791908741","88","88","88","0.022760042920708656","0.01974824257194996","0.02565458044409752"
"42","90","90","90","0.04266226105391979","0.035842008888721466","0.05056914687156677","90","90","90","0.036149699985980985","0.03200042247772217","0.04639013856649399","90","90","90","0.021830608323216438","0.019474897533655167","0.024268418550491333"
"43","92","92","92","0.04271281361579895","0.037238407880067825","0.04726463556289673","92","92","92","0.037852158024907115","0.031200677156448364","0.04233081638813019","92","92","92","0.021128820441663265","0.01920553483068943","0.02352665364742279"
"44","94","94","94","0.04087840989232063","0.033703990280628204","0.047971222549676895","94","94","94","0.036188171803951265","0.03071293607354164","0.040741242468357086","94","94","94","0.020797972194850446","0.018808649852871895","0.02436625398695469"
"45","96","96","96","0.039896204322576526","0.030400749295949936","0.04980654641985893","96","96","96","0.03615387137979269","0.030942102894186974","0.04458574205636978","96","96","96","0.022218733094632626","0.0191842969506979","0.026188772171735764"
"46","98","98","98","0.03939308188855648","0.03229246288537979","0.051401667296886444","98","98","98","0.036206784285604955","0.028767189010977745","0.0458153560757637","98","98","98","0.02175965830683708","0.017259085550904274","0.027123525738716125"
"47","100","100","100","0.039448981359601024","0.030387137085199356","0.049946378916502","100","100","100","0.03472742922604084","0.02850089967250824","0.03894926980137825","100","100","100","0.021051510982215405","0.01748553104698658","0.02605309523642063"
"48","102","102","102","0.03722667805850506","0.029340296983718872","0.04417293518781662","102","102","102","0.034026588685810565","0.027845170348882675","0.04247148707509041","102","102","102","0.020289629325270654","0.01714247651398182","0.022200219333171844"
"49","104","104","104","0.038000665977597235","0.028583955019712448","0.04436885565519333","104","104","104","0.03241816405206919","0.02612237259745598","0.03777683898806572","104","104","104","0.02066479194909334","0.018344487994909286","0.02406935580074787"
"50","107","107","107","0.035520132444798944","0.02675793133676052","0.04071074724197388","107","107","107","0.03289713077247143","0.025736719369888306","0.03936447203159332","107","107","107","0.02048187404870987","0.01817217655479908","0.02316361665725708"
"51","109","109","109","0.03684468418359756","0.029799798503518105","0.043907273560762405","109","109","109","0.03144859746098518","0.025304729118943214","0.03996723145246506","109","109","109","0.019933853670954703","0.018326785415410995","0.022559020668268204"
"52","111","111","111","0.03623167499899864","0.027429353445768356","0.04111456498503685","111","111","111","0.03193049505352974","0.02701316401362419","0.03718044236302376","111","111","111","0.01810842901468277","0.015301203355193138","0.020658809691667557"
"53","113","113","113","0.034913546219468114","0.025373369455337524","0.04005644470453262","113","113","113","0.03110396396368742","0.024914341047406197","0.03649885207414627","113","113","113","0.01884538047015667","0.01610756292939186","0.022743264213204384"
"54","115","115","115","0.03648831397294998","0.03042258322238922","0.04164571315050125","115","115","115","0.030464971251785756","0.02484207972884178","0.0391024574637413","115","115","115","0.018816430307924747","0.017754536122083664","0.02158084139227867"
"55","117","117","117","0.03440851606428623","0.027730083093047142","0.037400681525468826","117","117","117","0.030937410145998","0.026977460831403732","0.03475397080183029","117","117","117","0.019115021266043187","0.015208214521408081","0.02179575338959694"
"56","119","119","119","0.03289059717208147","0.022911401465535164","0.03876173496246338","119","119","119","0.030447673797607423","0.025548730045557022","0.034570783376693726","119","119","119","0.018274859804660083","0.014709259383380413","0.022044390439987183"
"57","121","121","121","0.032698200829327104","0.01886484958231449","0.03787944093346596","121","121","121","0.029546817764639854","0.025705981999635696","0.03522574156522751","121","121","121","0.01832374818623066","0.015826143324375153","0.024223599582910538"
"58","123","123","123","0.032320725917816165","0.02051130309700966","0.03810691833496094","123","123","123","0.02922701146453619","0.023240037262439728","0.03365328162908554","123","123","123","0.01798465717583895","0.014895914122462273","0.02160663716495037"
"59","125","125","125","0.03274123053997755","0.019816929474473","0.04180046170949936","125","125","125","0.029015648737549783","0.024783436208963394","0.032010164111852646","125","125","125","0.018216273188591002","0.01571747101843357","0.022056451067328453"
"60","128","128","128","0.031749087199568746","0.01749730296432972","0.042344413697719574","128","128","128","0.028708520531654357","0.025633689016103745","0.033309198915958405","128","128","128","0.017317869886755943","0.013514742255210876","0.020137086510658264"
"61","130","130","130","0.031006437726318836","0.019742798060178757","0.040604203939437866","130","130","130","0.028207595646381377","0.02305472269654274","0.03298180550336838","130","130","130","0.016947100777179","0.014213104732334614","0.020308207720518112"
"62","132","132","132","0.0314550356939435","0.016088690608739853","0.038565464317798615","132","132","132","0.027605608850717545","0.023528609424829483","0.0345291942358017","132","132","132","0.01621286794543266","0.013031376525759697","0.019238244742155075"
"63","134","134","134","0.030440154299139977","0.016376253217458725","0.035543955862522125","134","134","134","0.02889156509190798","0.02013540454208851","0.03549277037382126","134","134","134","0.01633112421259284","0.013791565783321857","0.018445109948515892"
"64","136","136","136","0.02981330957263708","0.013808265328407288","0.03594745323061943","136","136","136","0.026863389275968076","0.022404756397008896","0.03304281458258629","136","136","136","0.016439086757600307","0.01425875723361969","0.021537398919463158"
"65","138","138","138","0.029117351956665517","0.013010561466217041","0.0360456258058548","138","138","138","0.025722863152623177","0.0203402042388916","0.0284504946321249","138","138","138","0.016644262615591286","0.01514154952019453","0.01835356466472149"
"66","140","140","140","0.027319226507097484","0.014032411389052868","0.03454074636101723","140","140","140","0.026029930263757706","0.022512149065732956","0.02985318936407566","140","140","140","0.01682092621922493","0.015054352581501007","0.01824805699288845"
"67","142","142","142","0.027517073228955267","0.014966683462262154","0.03456191346049309","142","142","142","0.025215098448097707","0.021809503436088562","0.028294852003455162","142","142","142","0.017294200044125317","0.014184397645294666","0.019765274599194527"
"68","144","144","144","0.027699597273021938","0.014485177583992481","0.034472595900297165","144","144","144","0.02601152267307043","0.022549550980329514","0.031199824064970016","144","144","144","0.015579957328736783","0.01387983001768589","0.018556062132120132"
"69","146","146","146","0.027111806627362966","0.012134299613535404","0.03435972332954407","146","146","146","0.02615310549736023","0.02431824617087841","0.031471531838178635","146","146","146","0.015574737451970577","0.012725293636322021","0.019040847197175026"
"70","149","149","149","0.02667622799053788","0.012171697802841663","0.03460819646716118","149","149","149","0.024756338633596896","0.0222073495388031","0.029547106474637985","149","149","149","0.014616384264081716","0.012668703682720661","0.017007391899824142"
"71","151","151","151","0.027327550016343592","0.011650048196315765","0.033727988600730896","151","151","151","0.02609874326735735","0.02405938133597374","0.029680613428354263","151","151","151","0.014321726001799106","0.011243891902267933","0.016335774213075638"
"72","153","153","153","0.026477907598018647","0.012156277894973755","0.03419371694326401","153","153","153","0.025718684867024423","0.02325264923274517","0.02929803356528282","153","153","153","0.015069890487939119","0.013011868111789227","0.018707748502492905"
"73","155","155","155","0.027137745916843415","0.013500509783625603","0.03542054444551468","155","155","155","0.025050028599798678","0.020812025293707848","0.030083227902650833","155","155","155","0.01516695311293006","0.012523749843239784","0.01845647767186165"
"74","157","157","157","0.025808576215058564","0.010242030955851078","0.032802775502204895","157","157","157","0.025514080375432967","0.01987801492214203","0.03191446140408516","157","157","157","0.01488223895430565","0.011514547280967236","0.019894734025001526"
"75","159","159","159","0.025667792558670043","0.009394319728016853","0.03258175402879715","159","159","159","0.02482149377465248","0.020277515053749084","0.026870066300034523","159","159","159","0.01359206037595868","0.009027456864714622","0.017013737931847572"
"76","161","161","161","0.02510732365772128","0.009059489704668522","0.03103971853852272","161","161","161","0.025286919623613357","0.021080899983644485","0.030015671625733376","161","161","161","0.014062672015279531","0.011367135681211948","0.016847796738147736"
"77","163","163","163","0.02431050231680274","0.01089631300419569","0.03314370661973953","163","163","163","0.024964301846921444","0.020644383504986763","0.02782623842358589","163","163","163","0.014689999725669622","0.012617935426533222","0.017622461542487144"
"78","165","165","165","0.024954634718596935","0.012252764776349068","0.035955604165792465","165","165","165","0.0238903496414423","0.01932671293616295","0.02650497853755951","165","165","165","0.013902154099196196","0.012374202720820904","0.015939919278025627"
"79","167","167","167","0.023685004748404025","0.009612752124667168","0.03393716737627983","167","167","167","0.025314710661768915","0.02065427228808403","0.028803875669836998","167","167","167","0.013969699945300817","0.010037078522145748","0.017352411523461342"
"80","170","170","170","0.024119986593723296","0.009007584303617477","0.03682094067335129","170","170","170","0.024449621327221394","0.01891108974814415","0.027884388342499733","170","170","170","0.014040856156498194","0.011515868827700615","0.01640084758400917"
"81","172","172","172","0.02284211330115795","0.008864110335707664","0.031093960627913475","172","172","172","0.024013564549386503","0.02055281400680542","0.026763398200273514","172","172","172","0.013576699793338776","0.011459344998002052","0.01637204922735691"
"82","174","174","174","0.0228246396407485","0.009928412735462189","0.028773849830031395","174","174","174","0.02344105448573828","0.018513383343815804","0.02722099982202053","174","174","174","0.014233827218413353","0.01166110672056675","0.017859764397144318"
"83","176","176","176","0.02235103342682123","0.007856618613004684","0.030191695317626","176","176","176","0.02310362420976162","0.017140408977866173","0.027634134516119957","176","176","176","0.013101780693978072","0.009942331351339817","0.019501518458127975"
"84","178","178","178","0.022367149218916894","0.009077662602066994","0.030595481395721436","178","178","178","0.022827784717082977","0.020180342718958855","0.026448870077729225","178","178","178","0.012989378813654185","0.010737666860222816","0.017099035903811455"
"85","180","180","180","0.02267354531213641","0.00877742376178503","0.02857711911201477","180","180","180","0.022240200079977512","0.019575513899326324","0.02565230429172516","180","180","180","0.013760069757699967","0.010312655009329319","0.01719360053539276"
"86","182","182","182","0.02172256475314498","0.007296317256987095","0.02939355932176113","182","182","182","0.02197325825691223","0.01913970708847046","0.024569382891058922","182","182","182","0.01258793668821454","0.009528088383376598","0.014869878999888897"
"87","184","184","184","0.02098451852798462","0.007966818287968636","0.027349447831511497","184","184","184","0.022034718841314315","0.018863093107938766","0.024181192740797997","184","184","184","0.0133620023727417","0.010430880822241306","0.017948709428310394"
"88","186","186","186","0.02109745880588889","0.00774767529219389","0.02674679085612297","186","186","186","0.022080323100090025","0.01908225007355213","0.023839283734560013","186","186","186","0.012956505548208952","0.010787702165544033","0.015355056151747704"
"89","188","188","188","0.01999008934944868","0.009153425693511963","0.0294629093259573","188","188","188","0.022677001357078553","0.02065812423825264","0.0251518152654171","188","188","188","0.013626622874289751","0.012174808420240879","0.017006579786539078"
"90","191","191","191","0.01982371136546135","0.008941428735852242","0.025881897658109665","191","191","191","0.02279936857521534","0.02025141939520836","0.025405317544937134","191","191","191","0.012420154269784689","0.010591295547783375","0.014729629270732403"
"91","193","193","193","0.020795654505491257","0.008416084572672844","0.026768440380692482","193","193","193","0.023411787301301955","0.02122996374964714","0.026776056736707687","193","193","193","0.012669639196246862","0.00759727880358696","0.01609620824456215"
"92","195","195","195","0.020901174284517765","0.009493895806372166","0.02890768088400364","195","195","195","0.02286377511918545","0.020130854099988937","0.025912096723914146","195","195","195","0.0131535773165524","0.009195283055305481","0.017110241577029228"
"93","197","197","197","0.01968545066192746","0.006923633627593517","0.025947272777557373","197","197","197","0.022252938710153103","0.019056541845202446","0.026888784021139145","197","197","197","0.01284492164850235","0.009234433062374592","0.0175594724714756"
"94","199","199","199","0.02043498642742634","0.007096674293279648","0.026001935824751854","199","199","199","0.022287876717746256","0.017933692783117294","0.02588961459696293","199","199","199","0.012570004723966122","0.009160757064819336","0.015808649361133575"
"95","201","201","201","0.019681195076555014","0.007143452763557434","0.024918433278799057","201","201","201","0.0217695988714695","0.01862252689898014","0.027818217873573303","201","201","201","0.012081447802484036","0.009373714216053486","0.015137572772800922"
"96","203","203","203","0.019485997408628462","0.0074358852580189705","0.028250476345419884","203","203","203","0.021065559610724448","0.018468130379915237","0.024914443492889404","203","203","203","0.011623430345207453","0.009468910284340382","0.014493623748421669"
"97","205","205","205","0.01911380933597684","0.007110473699867725","0.026729324832558632","205","205","205","0.021528950519859792","0.018224665895104408","0.022774141281843185","205","205","205","0.01202779021114111","0.009021409787237644","0.013948790729045868"
"98","207","207","207","0.018708939431235194","0.0077490671537816525","0.025430718436837196","207","207","207","0.021921383775770666","0.019370917230844498","0.02381112240254879","207","207","207","0.012622072827070951","0.010593973100185394","0.016197945922613144"
"99","209","209","209","0.01806833194568753","0.008198969066143036","0.024012094363570213","209","209","209","0.02189536765217781","0.018561776727437973","0.02472211793065071","209","209","209","0.011281158775091171","0.00816373247653246","0.01399319153279066"
"100","212","212","212","0.018088591285049915","0.0073879314586520195","0.02377726137638092","212","212","212","0.021939027309417724","0.019548289477825165","0.023569580167531967","212","212","212","0.010905634332448243","0.008339728228747845","0.014973348006606102"
"101","214","214","214","0.018231850769370794","0.007265781052410603","0.02506796084344387","214","214","214","0.021336941048502922","0.018223783001303673","0.024348823353648186","214","214","214","0.010908834263682365","0.009174691513180733","0.012475316412746906"
"102","216","216","216","0.018007951136678458","0.007761812768876553","0.025755733251571655","216","216","216","0.021112686768174172","0.018626384437084198","0.02420920878648758","216","216","216","0.011586746154353022","0.007803911808878183","0.01404580194503069"
"103","218","218","218","0.018087588576599957","0.007185762282460928","0.02603708766400814","218","218","218","0.02085457667708397","0.01817796193063259","0.02477310784161091","218","218","218","0.010884253308176994","0.008445094339549541","0.013502977788448334"
"104","220","220","220","0.017553780460730195","0.007097215857356787","0.02415139600634575","220","220","220","0.020470071770250797","0.017759649083018303","0.025494689121842384","220","220","220","0.010979207046329976","0.008807134814560413","0.013491002842783928"
"105","222","222","222","0.01704971226863563","0.00669242674484849","0.022231362760066986","222","222","222","0.020826386660337447","0.018758082762360573","0.02304016798734665","222","222","222","0.01050456091761589","0.008015638217329979","0.012797745876014233"
"106","224","224","224","0.01730154100805521","0.006407938897609711","0.023425696417689323","224","224","224","0.020228177681565283","0.019056636840105057","0.021924685686826706","224","224","224","0.010816070530563594","0.009050899185240269","0.013110989704728127"
"107","226","226","226","0.017283571837469935","0.007314012851566076","0.02384890615940094","226","226","226","0.01993576679378748","0.01771271601319313","0.022221911698579788","226","226","226","0.01028916034847498","0.007728691212832928","0.013738678768277168"
"108","228","228","228","0.01685338350944221","0.006569208111613989","0.021894369274377823","228","228","228","0.019383138790726662","0.017301339656114578","0.023014331236481667","228","228","228","0.009673517988994717","0.006005721632391214","0.013053527101874352"
"109","230","230","230","0.017057303292676806","0.006083748769015074","0.022624662145972252","230","230","230","0.01998845860362053","0.015890544280409813","0.022790826857089996","230","230","230","0.010390834137797355","0.008171974681317806","0.013516376726329327"
"110","233","233","233","0.01681016804650426","0.006052573211491108","0.023590339347720146","233","233","233","0.020369835011661053","0.016882862895727158","0.02381320670247078","233","233","233","0.010608260240405797","0.008090749382972717","0.012141592800617218"
"111","235","235","235","0.016916122939437627","0.005639153532683849","0.023269934579730034","235","235","235","0.020355676487088203","0.018028823658823967","0.023268627002835274","235","235","235","0.011082334816455841","0.008450418710708618","0.015310918912291527"
"112","237","237","237","0.01674536457285285","0.006132771261036396","0.027078300714492798","237","237","237","0.01935415267944336","0.016394685953855515","0.021491196006536484","237","237","237","0.010911316424608231","0.009427240118384361","0.013710114173591137"
"113","239","239","239","0.016290488187223673","0.005598238669335842","0.025703096762299538","239","239","239","0.019294534623622895","0.017405787482857704","0.021660471335053444","239","239","239","0.01022829981520772","0.008221490308642387","0.011923613026738167"
"114","241","241","241","0.015711341006681322","0.007170190569013357","0.021785659715533257","241","241","241","0.01928216591477394","0.017002183943986893","0.021106315776705742","241","241","241","0.01014906046912074","0.008708275854587555","0.012901457026600838"
"115","243","243","243","0.01590215219184756","0.0057013072073459625","0.024954715743660927","243","243","243","0.019669943675398826","0.017056485638022423","0.022330129519104958","243","243","243","0.010174901690334082","0.007851873524487019","0.01198669709265232"
"116","245","245","245","0.01579301171004772","0.005802465602755547","0.02436887100338936","245","245","245","0.01916485037654638","0.01733875833451748","0.020750612020492554","245","245","245","0.010030736215412617","0.006761857308447361","0.011075129732489586"
"117","247","247","247","0.015737822744995356","0.006554613821208477","0.023050982505083084","247","247","247","0.019665303453803063","0.01607259176671505","0.022242402657866478","247","247","247","0.01051652180030942","0.008045876398682594","0.012479225173592567"
"118","249","249","249","0.014752620691433549","0.0070353285409510136","0.02202961966395378","249","249","249","0.01906001679599285","0.017076611518859863","0.023191366344690323","249","249","249","0.010310651268810034","0.008727059699594975","0.012848854064941406"
"119","251","251","251","0.015314674936234951","0.007409137673676014","0.022663459181785583","251","251","251","0.01903100833296776","0.017159095034003258","0.021004226058721542","251","251","251","0.00985828097909689","0.007493138313293457","0.012919020839035511"
"120","254","254","254","0.015368054341524839","0.00640909094363451","0.023776333779096603","254","254","254","0.01932196579873562","0.015928687527775764","0.023474406450986862","254","254","254","0.010222598584368825","0.007030534092336893","0.013289724476635456"
"121","256","256","256","0.01490465789102018","0.005863191094249487","0.021378174424171448","256","256","256","0.019287321902811527","0.01695437729358673","0.02319512702524662","256","256","256","0.00906484634615481","0.007198429200798273","0.010878807865083218"
"122","258","258","258","0.014435653714463115","0.006375764962285757","0.023736631497740746","258","258","258","0.019604474864900114","0.01696171425282955","0.023143911734223366","258","258","258","0.00923730474896729","0.007121964357793331","0.011422294192016125"
"123","260","260","260","0.014736168831586838","0.00618028175085783","0.02163868583738804","260","260","260","0.018397142924368382","0.01686698943376541","0.02232096530497074","260","260","260","0.00968037573620677","0.006402231752872467","0.012181060388684273"
"124","262","262","262","0.01416453141719103","0.004752135369926691","0.022048596292734146","262","262","262","0.01879270523786545","0.015022821724414825","0.021873366087675095","262","262","262","0.009344706404954195","0.00535587128251791","0.011803644709289074"
"125","264","264","264","0.014692936884239316","0.0048801046796143055","0.026416445150971413","264","264","264","0.018404683284461498","0.016276856884360313","0.02162187360227108","264","264","264","0.009325114544481039","0.007958829402923584","0.012543382123112679"
"126","266","266","266","0.013898925483226776","0.0060364855453372","0.021065611392259598","266","266","266","0.018390624225139617","0.01581258699297905","0.020765364170074463","266","266","266","0.009139468474313617","0.007394012063741684","0.01085607148706913"
"127","268","268","268","0.013666166551411152","0.005199461244046688","0.020299125462770462","268","268","268","0.018589824438095093","0.015711123123764992","0.02090298756957054","268","268","268","0.008993298234418034","0.007683638483285904","0.012602793984115124"
"128","270","270","270","0.013878961745649575","0.005270729772746563","0.020577844232320786","270","270","270","0.01837345752865076","0.016202306374907494","0.02233600616455078","270","270","270","0.0087106809951365","0.006016767583787441","0.010351990349590778"
