"epoch","Name: explicit_transformerpred - _step","Name: explicit_transformerpred - _step__MIN","Name: explicit_transformerpred - _step__MAX","Name: explicit_transformerpred - train/params_MSE","Name: explicit_transformerpred - train/params_MSE__MIN","Name: explicit_transformerpred - train/params_MSE__MAX","Name: explicit_knownpred - _step","Name: explicit_knownpred - _step__MIN","Name: explicit_knownpred - _step__MAX","Name: explicit_knownpred - train/params_MSE","Name: explicit_knownpred - train/params_MSE__MIN","Name: explicit_knownpred - train/params_MSE__MAX"
"56","119","119","119","0.024647783115506174","0.02139786072075367","0.027739068493247032","119","119","119","0.01734263580292463","0.01558840461075306","0.019958529621362686"
"57","121","121","121","0.023952797614037992","0.021410541608929634","0.02660488523542881","121","121","121","0.017531555145978928","0.015377303585410118","0.02108500525355339"
"58","123","123","123","0.02362358681857586","0.019005540758371353","0.027126943692564964","123","123","123","0.01665681377053261","0.013329441659152508","0.01916368119418621"
"59","125","125","125","0.024480730667710303","0.021312160417437553","0.029437046498060226","125","125","125","0.017211872152984142","0.0146517064422369","0.02000809647142887"
"60","128","128","128","0.02330686468631029","0.018623191863298416","0.02724282443523407","128","128","128","0.016523712687194346","0.01335762720555067","0.020542245358228683"
"61","130","130","130","0.022880376316607","0.0207371823489666","0.02490231581032276","130","130","130","0.01640422698110342","0.014843088574707508","0.01971629075706005"
"62","132","132","132","0.023400015011429787","0.020162558183073997","0.02641335129737854","132","132","132","0.01602299464866519","0.013857063837349415","0.01824100688099861"
"63","134","134","134","0.023372003994882106","0.020852139219641685","0.026631290093064308","134","134","134","0.015582712460309267","0.013835938647389412","0.017894743010401726"
"64","136","136","136","0.023657991364598275","0.018719075247645378","0.02886461652815342","136","136","136","0.01601199172437191","0.014127601869404316","0.019016800448298454"
"65","138","138","138","0.0232739781960845","0.019240470603108406","0.028622064739465714","138","138","138","0.015276686102151871","0.013970673084259033","0.016201168298721313"
"66","140","140","140","0.02290886715054512","0.017885388806462288","0.02746357023715973","140","140","140","0.015777097921818493","0.014018908143043518","0.01751871593296528"
"67","142","142","142","0.021985916048288347","0.01823359541594982","0.025916025042533875","142","142","142","0.016670119669288396","0.014686954207718372","0.02363329753279686"
"68","144","144","144","0.022625594213604928","0.0192843209952116","0.025208288803696632","144","144","144","0.015564371086657047","0.01422911323606968","0.017500150948762894"
"69","146","146","146","0.022273296490311623","0.019552260637283325","0.027674537152051926","146","146","146","0.01534230737015605","0.01310295332223177","0.017939012497663498"
"70","149","149","149","0.02222515773028135","0.018185507506132126","0.027323022484779358","149","149","149","0.014532130677253008","0.012650936841964722","0.01686248928308487"
"71","151","151","151","0.02160051967948675","0.018146369606256485","0.02461264654994011","151","151","151","0.013889290764927864","0.01171529944986105","0.015095067210495472"
"72","153","153","153","0.0211250402033329","0.01949937641620636","0.022423844784498215","153","153","153","0.014690141938626767","0.012889482080936432","0.01658794656395912"
"73","155","155","155","0.021929632872343063","0.01914600469172001","0.029324427247047424","155","155","155","0.014818004611879588","0.01230616308748722","0.017893429845571518"
"74","157","157","157","0.021206692419946195","0.018201086670160294","0.027594635263085365","157","157","157","0.015150652918964624","0.012153496034443378","0.017284374684095383"
"75","159","159","159","0.02003087308257818","0.018514785915613174","0.02320893481373787","159","159","159","0.01400592103600502","0.011278986930847168","0.015943162143230438"
"76","161","161","161","0.01989243384450674","0.018040141090750694","0.022852012887597084","161","161","161","0.014130270574241877","0.012913042679429054","0.016302848234772682"
"77","163","163","163","0.020846434496343137","0.018471919000148773","0.024675797671079636","163","163","163","0.014303973037749529","0.012623506598174572","0.0161244235932827"
"78","165","165","165","0.020798104256391524","0.016827423125505447","0.028039926663041115","165","165","165","0.014007576182484627","0.01183260977268219","0.016018519178032875"
"79","167","167","167","0.0222677206620574","0.019124135375022888","0.030994197353720665","167","167","167","0.01431404184550047","0.011029671877622604","0.0173138789832592"
"80","170","170","170","0.021539344638586044","0.019316650927066803","0.029886264353990555","170","170","170","0.014430057257413864","0.01274824608117342","0.016947589814662933"
"81","172","172","172","0.020861615985631944","0.018386563286185265","0.02472427859902382","172","172","172","0.013586350530385972","0.011134080588817596","0.016651343554258347"
"82","174","174","174","0.0201769333332777","0.018024275079369545","0.022852640599012375","174","174","174","0.014229604974389076","0.012086545117199421","0.01690717414021492"
"83","176","176","176","0.01946337204426527","0.016640692949295044","0.021719936281442642","176","176","176","0.012946768011897803","0.010400084778666496","0.016324056312441826"
"84","178","178","178","0.019587476365268232","0.01723371259868145","0.02215956151485443","178","178","178","0.01281611416488886","0.010887900367379189","0.0164308063685894"
"85","180","180","180","0.019097558595240115","0.015706676989793777","0.023745840415358543","180","180","180","0.01362037668004632","0.011367253959178925","0.01664583943784237"
"86","182","182","182","0.018684937804937362","0.014541206881403923","0.02399652637541294","182","182","182","0.012895038910210132","0.010231646709144115","0.014998125843703747"
"87","184","184","184","0.019124742597341537","0.015900036320090294","0.025780517607927322","184","184","184","0.013573471922427416","0.011251605115830898","0.017585087567567825"
"88","186","186","186","0.018596807867288588","0.01502913050353527","0.021440397948026657","186","186","186","0.013098637945950032","0.010555027984082699","0.015821009874343872"
"89","188","188","188","0.018716512061655522","0.015657898038625717","0.02318985015153885","188","188","188","0.01348949372768402","0.012013132683932781","0.015515243634581566"
"90","191","191","191","0.019295221753418447","0.016694724559783936","0.021151486784219742","191","191","191","0.012979380786418915","0.011560074985027313","0.014576951041817665"
"91","193","193","193","0.01877855509519577","0.016112053766846657","0.021164530888199806","193","193","193","0.01249739183112979","0.008571712300181389","0.015021955594420433"
"92","195","195","195","0.019605298712849616","0.016570350155234337","0.02394002489745617","195","195","195","0.01264252196997404","0.009297657757997513","0.014692993834614754"
"93","197","197","197","0.019235397316515447","0.016434554010629654","0.02390807867050171","197","197","197","0.01228797435760498","0.008905775845050812","0.014463314786553383"
"94","199","199","199","0.019204379990696907","0.01565500535070896","0.022181842476129532","199","199","199","0.01220892695710063","0.009643500670790672","0.013821889646351337"
"95","201","201","201","0.018272378481924534","0.016246717423200607","0.021827273070812225","201","201","201","0.011952320486307145","0.009661220014095306","0.014842560514807701"
"96","203","203","203","0.018823356740176676","0.01602652296423912","0.021843086928129196","203","203","203","0.011876697186380625","0.010004430077970028","0.013457697816193104"
"97","205","205","205","0.01903001144528389","0.015747230499982834","0.023211024701595306","205","205","205","0.012291657831519842","0.010808604769408703","0.013499299064278603"
"98","207","207","207","0.01853447798639536","0.01599203608930111","0.021793732419610023","207","207","207","0.012331655155867339","0.009658832103013992","0.014595521613955498"
"99","209","209","209","0.017730252258479594","0.015016810968518257","0.020600443705916405","209","209","209","0.011458930186927318","0.00925949402153492","0.013024160638451576"
"100","212","212","212","0.0180970499292016","0.015209874138236046","0.02134094573557377","212","212","212","0.010976325534284116","0.00866692140698433","0.013985520228743553"
"101","214","214","214","0.017971681710332633","0.014723586849868298","0.0216086283326149","214","214","214","0.011222410760819913","0.009338123723864555","0.012650703079998493"
"102","216","216","216","0.017767621017992497","0.01527685858309269","0.020139597356319427","216","216","216","0.011903517693281174","0.008203563280403614","0.013679437339305878"
"103","218","218","218","0.017469779960811137","0.01481468416750431","0.019439037889242172","218","218","218","0.01102610882371664","0.0089205177500844","0.012677596881985664"
"104","220","220","220","0.017061533592641353","0.01540408842265606","0.018713410943746567","220","220","220","0.011247541289776564","0.009437059983611107","0.012843513861298561"
"105","222","222","222","0.016695838887244463","0.015000643208622932","0.018959226086735725","222","222","222","0.01098559945821762","0.00956631638109684","0.013017935678362846"
"106","224","224","224","0.016396489180624484","0.013460412621498108","0.020539408549666405","224","224","224","0.01099459920078516","0.008163358084857464","0.013277100399136543"
"107","226","226","226","0.016069218143820764","0.014956578612327576","0.017401177436113358","226","226","226","0.010664141364395618","0.008680691942572594","0.01297931931912899"
"108","228","228","228","0.01574871875345707","0.01393426675349474","0.017775043845176697","228","228","228","0.010165752563625573","0.00686008483171463","0.011942180804908276"
"109","230","230","230","0.017278038244694472","0.015039084479212761","0.018981680274009705","230","230","230","0.011019025277346373","0.008572904393076897","0.01449509896337986"
"110","233","233","233","0.01711528142914176","0.015000860206782818","0.021141836419701576","233","233","233","0.010848317854106426","0.009040968492627144","0.01289292611181736"
"111","235","235","235","0.017220059409737587","0.015268887393176556","0.02021784707903862","235","235","235","0.011262609157711267","0.00916416384279728","0.01377366203814745"
"112","237","237","237","0.016568649001419543","0.014900298789143562","0.02000567503273487","237","237","237","0.010900232568383217","0.009269339963793755","0.013949851505458355"
"113","239","239","239","0.016598938312381507","0.01434102188795805","0.021129975095391273","239","239","239","0.010170463379472494","0.008819240145385265","0.011312986724078655"
"114","241","241","241","0.016060152370482684","0.01366348285228014","0.018147461116313934","241","241","241","0.010145193617790937","0.008437011390924454","0.011780360713601112"
"115","243","243","243","0.01610962152481079","0.013263346627354622","0.020388368517160416","243","243","243","0.010421586688607931","0.008020376786589622","0.012280197814106941"
"116","245","245","245","0.01663391925394535","0.015101486817002296","0.01937767118215561","245","245","245","0.010174047853797673","0.007832007482647896","0.011746297590434551"
"117","247","247","247","0.017181528825312854","0.01403130404651165","0.021543528884649277","247","247","247","0.010443077236413956","0.008107336238026619","0.011609046719968319"
"118","249","249","249","0.016703618504107","0.013635963201522827","0.019441032782197","249","249","249","0.010167790669947862","0.008434916846454144","0.012015359476208687"
"119","251","251","251","0.015929377172142267","0.013803338631987572","0.018774699419736862","251","251","251","0.009573393687605857","0.007883218117058277","0.011940785683691502"
"120","254","254","254","0.01628761263564229","0.012851652689278126","0.02081925980746746","254","254","254","0.009958965424448251","0.007992266677320004","0.011934807524085045"
"121","256","256","256","0.01559902373701334","0.012954538688063622","0.01813798025250435","256","256","256","0.009641710249707103","0.007771024014800787","0.011753651313483715"
"122","258","258","258","0.016127566527575254","0.012920759618282318","0.022309642285108566","258","258","258","0.009509564703330397","0.007705374155193567","0.012090004980564117"
"123","260","260","260","0.016426408477127553","0.013148809783160686","0.01915353536605835","260","260","260","0.009708824148401619","0.006315005477517843","0.011394635774195194"
"124","262","262","262","0.015713730826973915","0.012138264253735542","0.019167251884937286","262","262","262","0.009581844927743078","0.0061927479691803455","0.011912444606423378"
"125","264","264","264","0.01623985655605793","0.013801219873130322","0.019941089674830437","264","264","264","0.009368788450956345","0.008152392692863941","0.012884157709777355"
"126","266","266","266","0.015637095645070077","0.013714690692722797","0.01802350953221321","266","266","266","0.009102586284279823","0.007249470800161362","0.01092978660017252"
"127","268","268","268","0.015800756122916936","0.01380076538771391","0.01960565708577633","268","268","268","0.009272563736885786","0.008091422729194164","0.011926732957363129"
"128","270","270","270","0.015523194149136544","0.01253693737089634","0.0195645522326231","270","270","270","0.008974474295973778","0.006612848490476608","0.011024055071175098"
"129","272","272","272","0.016032564640045165","0.01280088722705841","0.020747018977999687","272","272","272","0.009307100065052509","0.00668305903673172","0.011341565288603306"
"130","275","275","275","0.01716807223856449","0.01410746295005083","0.02980579063296318","275","275","275","0.00922147654928267","0.006086051929742098","0.010639725252985954"
"131","277","277","277","0.0162850228138268","0.013379735872149467","0.02548513188958168","277","277","277","0.009301763866096735","0.007875987328588963","0.010293586179614067"
"132","279","279","279","0.01565385954454541","0.013040134683251381","0.023792844265699387","279","279","279","0.00944176958873868","0.007834417745471","0.011579432524740696"
"133","281","281","281","0.01566552761942148","0.013511118479073048","0.021594835445284843","281","281","281","0.009285335522145033","0.007870801724493504","0.011177824810147285"
"134","283","283","283","0.014708413928747176","0.012749840505421162","0.017945826053619385","283","283","283","0.009610792389139533","0.007403959520161152","0.012250076979398727"
"135","285","285","285","0.014710836671292781","0.012679129838943481","0.018985945731401443","285","285","285","0.00960111995227635","0.007061759475618601","0.0108764274045825"
"136","287","287","287","0.015042092744261026","0.013151365332305431","0.016938846558332443","287","287","287","0.009020161861553789","0.007553149946033955","0.011974375694990158"
"137","289","289","289","0.015264924336224794","0.013744458556175232","0.017971869558095932","289","289","289","0.00946778617799282","0.007881570607423782","0.011599915102124214"
"138","291","291","291","0.015043232496827841","0.013338087126612663","0.01682659424841404","291","291","291","0.008656067866832018","0.0074327560141682625","0.01126257237046957"
"139","293","293","293","0.0160307165235281","0.014538994058966637","0.019496697932481766","293","293","293","0.008688034210354089","0.006533065345138311","0.011021685786545277"
"140","296","296","296","0.014794106688350439","0.012985276989638805","0.016647128388285637","296","296","296","0.008289686124771833","0.0071962326765060425","0.010616580955684185"
"141","298","298","298","0.014742074254900216","0.012306234799325466","0.01857198029756546","298","298","298","0.008894080016762018","0.006691316608339548","0.011701410636305809"
"142","300","300","300","0.015617101453244686","0.013713926076889038","0.020413700491189957","300","300","300","0.009317935165017843","0.006923657841980457","0.012787608429789543"
"143","302","302","302","0.015090978052467108","0.013438781723380089","0.017634456977248192","302","302","302","0.008653145981952548","0.007249997463077307","0.010158256627619267"
"144","304","304","304","0.015102551318705082","0.013475067913532257","0.019190138205885887","304","304","304","0.008705907128751278","0.006838411092758179","0.010837005451321602"
"145","306","306","306","0.015137814357876778","0.012882906012237072","0.017755921930074692","306","306","306","0.008655130909755827","0.006385138723999262","0.011238640174269676"
"146","308","308","308","0.014253348764032125","0.01250343956053257","0.015984177589416504","308","308","308","0.007829820411279798","0.0069478475488722324","0.009154176339507103"
"147","310","310","310","0.01460694819688797","0.012473962269723415","0.01652219146490097","310","310","310","0.008930500876158477","0.006093817763030529","0.012192973867058754"
"148","312","312","312","0.014649650268256664","0.012323308736085892","0.01801283098757267","312","312","312","0.009216413553804158","0.00759387481957674","0.011698166839778423"
"149","314","314","314","0.014966849610209465","0.013358153402805328","0.01743544265627861","314","314","314","0.009049401385709643","0.007696786429733038","0.010534790344536304"
"150","317","317","317","0.015195085294544696","0.012573015876114368","0.018934553489089012","317","317","317","0.008282144693657756","0.005892239976674318","0.010264304466545582"
"151","319","319","319","0.01464095590636134","0.01241186261177063","0.016085129231214523","319","319","319","0.008495824644342065","0.005795573815703392","0.010739155113697052"
"152","321","321","321","0.014655951410531998","0.011877342127263546","0.016373775899410248","321","321","321","0.00824421332217753","0.007364661432802677","0.010856053791940212"
"153","323","323","323","0.014364096894860267","0.011959907598793507","0.017019908875226974","323","323","323","0.008010550402104855","0.0053932457230985165","0.010101577267050743"
"154","325","325","325","0.014252010267227888","0.010936838574707508","0.01805148273706436","325","325","325","0.007647229079157114","0.0053290510550141335","0.010773245245218277"
"155","327","327","327","0.014920817594975233","0.013018937781453133","0.01893455535173416","327","327","327","0.008362875273451208","0.006820803042501211","0.01031002402305603"
"156","329","329","329","0.015051898267120122","0.011941120959818363","0.02000248059630394","329","329","329","0.007962048798799515","0.006194196175783873","0.009510480798780918"
"157","331","331","331","0.01446568062528968","0.01296041626483202","0.01705215312540531","331","331","331","0.00803495100699365","0.006312534213066101","0.009742425754666328"
"158","333","333","333","0.014287182223051786","0.012163016013801098","0.01645178347826004","333","333","333","0.0077329125255346295","0.005068351048976183","0.009889733046293259"
"159","335","335","335","0.014189518615603447","0.012792053632438183","0.015227200463414192","335","335","335","0.008263160940259695","0.006694710813462734","0.010295937769114971"
"160","338","338","338","0.014152604062110186","0.012120475992560387","0.017081979662179947","338","338","338","0.008032826986163855","0.005960424430668354","0.009222622029483318"
"161","340","340","340","0.014075399283319712","0.011761205270886421","0.018661607056856155","340","340","340","0.007836711592972279","0.006084649357944727","0.010404082015156746"
"162","342","342","342","0.014047951530665159","0.011613129638135433","0.016087397933006287","342","342","342","0.007497183792293072","0.005819189362227917","0.008648604154586792"
"163","344","344","344","0.014234541449695826","0.012146939523518085","0.016834592446684837","344","344","344","0.007519198721274734","0.0048872968181967735","0.009296005591750145"
"164","346","346","346","0.015107098780572415","0.012484399601817131","0.018259434029459953","346","346","346","0.007849030941724778","0.005490233656018972","0.010139310732483864"
"165","348","348","348","0.014128179941326379","0.012571470811963081","0.016881819814443588","348","348","348","0.0073390288278460504","0.006415351293981075","0.008362730965018272"
"166","350","350","350","0.013631742261350156","0.011526777409017086","0.01642759144306183","350","350","350","0.007179614808410406","0.006506563629955053","0.008721492253243923"
"167","352","352","352","0.013277419283986092","0.012039892375469208","0.01515468955039978","352","352","352","0.006912523182108998","0.005250294227153063","0.0077577875927090645"
"168","354","354","354","0.013369108084589243","0.011846225708723068","0.014925496652722359","354","354","354","0.007277169637382031","0.0048917545937001705","0.008699564263224602"
"169","356","356","356","0.013729128427803517","0.012176183983683586","0.015459093265235424","356","356","356","0.007324195699766278","0.005734635982662439","0.009591958485543728"
"170","359","359","359","0.01378389997407794","0.012071428820490837","0.017066119238734245","359","359","359","0.0078853705432266","0.005977530963718891","0.010330314747989178"
"171","361","361","361","0.014209609478712082","0.011634744703769684","0.01652510091662407","361","361","361","0.007930967817083","0.00586613267660141","0.009438501670956612"
"172","363","363","363","0.014056126959621907","0.012043642811477184","0.020055515691637993","363","363","363","0.007602063659578562","0.006017362233251333","0.011196127161383629"
"173","365","365","365","0.014657583832740784","0.011800110340118408","0.020051393657922745","365","365","365","0.007824650313705207","0.006371358875185251","0.009838549420237541"
"174","367","367","367","0.014007561188191176","0.011576537974178791","0.01691475696861744","367","367","367","0.0073579139541834595","0.005226162262260914","0.008544325828552246"
"175","369","369","369","0.014117334224283695","0.012565763667225838","0.016038184985518456","369","369","369","0.007329756813123822","0.005991254933178425","0.009300103411078453"
"176","371","371","371","0.013740811962634325","0.012302760034799576","0.015612724237143993","371","371","371","0.007174190646037459","0.005502886604517698","0.008661886677145958"
"177","373","373","373","0.014230712037533521","0.011524369940161705","0.016336221247911453","373","373","373","0.007326918048784136","0.00624221982434392","0.008547183126211166"
"178","375","375","375","0.013282169681042432","0.010863766074180603","0.015762673690915108","375","375","375","0.007095582596957683","0.005704394541680813","0.008202709257602692"
"179","377","377","377","0.01300333570688963","0.011986938305199146","0.01432251650840044","377","377","377","0.0071246295236051084","0.0057390229776501656","0.007734163664281368"
"180","380","380","380","0.01407496239989996","0.012330913916230202","0.015823649242520332","380","380","380","0.007097305031493306","0.005856781732290983","0.0087931789457798"
"181","382","382","382","0.013534507993608714","0.011696362867951393","0.015078654512763023","382","382","382","0.007079177675768733","0.0051816301420331","0.00889370683580637"
"182","384","384","384","0.012666657008230687","0.011136752553284168","0.015831243246793747","384","384","384","0.006270581157878041","0.004799214191734791","0.008072043769061565"
"183","386","386","386","0.01391880502924323","0.012203177437186241","0.01773916184902191","386","386","386","0.007329230196774006","0.005425802897661924","0.00882784090936184"
"184","388","388","388","0.013343315757811069","0.010681608691811562","0.018570896238088608","388","388","388","0.007003024453297257","0.005161564331501722","0.010571557097136974"
"185","390","390","390","0.012977487687021495","0.011204684153199196","0.01655719056725502","390","390","390","0.006557279406115413","0.004569639451801777","0.01043085940182209"
"186","392","392","392","0.012877246737480164","0.011411210522055626","0.014563463628292084","392","392","392","0.006721810717135668","0.0050647323951125145","0.007820600643754005"
"187","394","394","394","0.013323731999844313","0.011800047010183334","0.01453171856701374","394","394","394","0.007425690162926912","0.0057153464294970036","0.009410088881850243"
"188","396","396","396","0.012937107961624861","0.011432887986302376","0.014473289251327515","396","396","396","0.0069504514336586","0.005581182427704334","0.00884043425321579"
"189","398","398","398","0.012852093297988176","0.010485788807272911","0.014289584942162037","398","398","398","0.0068820557091385124","0.0057657272554934025","0.008978408761322498"
"190","401","401","401","0.013317500986158849","0.012125822715461254","0.015414370223879814","401","401","401","0.0074009107891470196","0.005641158204525709","0.00934934988617897"
"191","403","403","403","0.012999309692531824","0.011241727508604527","0.01492482703179121","403","403","403","0.006169421877712011","0.004988881293684244","0.007209358271211386"
