run_id,epoch,model,context_style,val/iid_MSE,val/far_MSE,val/wide_MSE
72y0b37p,989,explicit-mlp,near,1.00455904006958,6.012379169464111,87.95866394042969
ob7e426z,989,explicit-mlp,near,1.0620797872543335,7.126713752746582,104.61921691894531
z4cc9gwj,989,explicit-mlp,near,1.0702946186065674,7.126579761505127,98.56966400146484
5xp5hdjp,989,explicit-mlp,near,1.0904016494750977,6.171297073364258,91.90962982177734
yxwh867v,989,explicit-mlp,near,1.0671522617340088,6.825595855712891,91.47702026367188
6z0cmh0j,976,explicit-mlp,same,1.0446206331253052,5.951748371124268,78.29928588867188
63j4a8dw,976,explicit-mlp,same,0.9662891030311584,5.6437883377075195,81.29412841796875
b436gve2,976,explicit-mlp,same,1.0078879594802856,5.475717067718506,78.63302612304688
k6fo5gun,976,explicit-mlp,same,1.0313873291015625,5.778763771057129,80.42523956298828
uj6kg072,976,explicit-mlp,same,0.9748947620391846,5.232263088226318,78.01782989501953
kis7so83,979,explicit-transformer,near,0.7666102051734924,5.626552581787109,83.80284881591797
8t737dsd,979,explicit-transformer,near,0.7216812372207642,5.24931526184082,75.36695861816406
fabl1g4z,979,explicit-transformer,near,0.6959701180458069,5.1835455894470215,72.03556823730469
49oe8evz,979,explicit-transformer,near,0.6978816390037537,5.158999919891357,74.64409637451172
yxi13qsf,979,explicit-transformer,near,0.8240963220596313,5.230406284332275,68.64412689208984
4w29lojv,965,explicit-transformer,same,0.8288573026657104,5.380499839782715,70.39567565917969
1s01kl8s,965,explicit-transformer,same,0.7699825167655945,5.276242256164551,68.67881774902344
5z6t7qsa,965,explicit-transformer,same,0.7067650556564331,5.033371925354004,62.574195861816406
pbrasds2,965,explicit-transformer,same,0.7486766576766968,4.991281509399414,62.52682876586914
aqty9msf,965,explicit-transformer,same,0.7554093599319458,5.1045823097229,70.1479721069336
8qetkfis,988,implicit,near,0.3106441795825958,3.5647904872894287,60.4600715637207
mgy6bilv,988,implicit,near,0.33491048216819763,3.876192808151245,61.23268127441406
i02z3yxb,988,implicit,near,0.34373828768730164,4.263452053070068,71.49397277832031
7evar5lb,988,implicit,near,0.3451191484928131,3.9436862468719482,62.75819396972656
li4uy5xm,988,implicit,near,0.34063640236854553,3.7970774173736572,61.829410552978516
k45yt9yv,994,implicit,same,0.32845938205718994,2.906104803085327,52.75051498413086
yhewqtk5,994,implicit,same,0.2612101137638092,2.4113552570343018,50.87693786621094
69zcwnf7,994,implicit,same,0.2626408040523529,2.394956350326538,52.296714782714844
h2wsezrq,994,implicit,same,0.24459289014339447,2.3988664150238037,54.02470779418945
wkak1cru,994,implicit,same,0.2673742473125458,2.5111207962036133,55.356258392333984
