run_id,epoch,model,val/Accuracy/dataloader_idx_0,val/Accuracy/dataloader_idx_1,val/Accuracy/dataloader_idx_2
xydsypa5,989,explicit-mlp,0.859000027179718,0.8228750228881836,0.7978472709655762
8uwr9b2e,989,explicit-mlp,0.8611250519752502,0.8237777948379517,0.7941111922264099
4jlo75cd,989,explicit-mlp,0.8609583973884583,0.8228334188461304,0.7968333959579468
1c8tegq9,989,explicit-mlp,0.862333357334137,0.8257639408111572,0.7930417060852051
6l14f7f8,989,explicit-mlp,0.8604722023010254,0.8228333592414856,0.7970556020736694
r91gm0a6,971,explicit-transformer,0.8684167265892029,0.8342916369438171,0.808055579662323
zyln6jaj,971,explicit-transformer,0.8671667575836182,0.8334722518920898,0.8103471994400024
vaxes774,971,explicit-transformer,0.8691667318344116,0.837527871131897,0.8130695223808289
5yab0ng9,971,explicit-transformer,0.8683472871780396,0.830791711807251,0.8103334307670593
f1hffqfh,971,explicit-transformer,0.865694522857666,0.8280278444290161,0.8045555949211121
q7cnp8yn,914,imlicit,0.889666736125946,0.8649583458900452,0.8463194966316223
utzh4al9,914,imlicit,0.8889167308807373,0.8635556101799011,0.8453472852706909
wnw2gnuh,914,imlicit,0.8897083401679993,0.8658055663108826,0.8484028577804565
ksgbz1g0,995,implicit,0.8887223601341248,0.861875057220459,0.8445695042610168
xv3mj3j5,995,implicit,0.8907083868980408,0.8653750419616699,0.8471528887748718
