epoch,val_iid/rule_accuracy,val_ood/rule_accuracy,model
846.0,0.9975726008415222,0.997542679309845,explicit-known
846.0,0.9704902172088623,0.9702415466308594,explicit-known
846.0,0.9787958264350891,0.978779673576355,explicit-known
846.0,0.9788196086883545,0.9786338806152344,explicit-known
846.0,0.9869109988212585,0.9868596196174622,explicit-known
972.0,0.9760590195655823,0.9758225679397583,explicit-mlp
972.0,0.8940742611885071,0.8917950987815857,explicit-mlp
972.0,0.9687291979789734,0.9691795110702515,explicit-mlp
972.0,0.9068062901496887,0.9048729538917542,explicit-mlp
972.0,0.8571156859397888,0.855226993560791,explicit-mlp
937.0,0.8082817792892456,0.8062265515327454,explicit-transformer
937.0,0.8931937217712402,0.8908995985984802,explicit-transformer
937.0,0.8504283428192139,0.8481882810592651,explicit-transformer
937.0,0.8755592703819275,0.8743856549263,explicit-transformer
937.0,0.9138743281364441,0.9133069515228271,explicit-transformer
