run_id,epoch,model,val/iid_MSE,val/far_MSE,val/wide_MSE
4ftolrn4,979,explicit-mlp,0.04641721770167351,0.36782458424568176,0.21956601738929749
49stbtw6,979,explicit-mlp,0.049160972237586975,0.37117764353752136,0.2141135334968567
u3af1yxs,979,explicit-mlp,0.03465082496404648,0.3620172142982483,0.21689364314079285
sn2jqcxq,979,explicit-mlp,0.038121581077575684,0.352431982755661,0.2000395953655243
kvx2yvqw,979,explicit-mlp,0.04779183492064476,0.37162813544273376,0.21902668476104736
9i8hbl4l,979,explicit-mlp,0.04933108389377594,0.3740360736846924,0.21356579661369324
3ugfz03p,979,explicit-mlp,0.047815896570682526,0.3971816301345825,0.22295387089252472
n3294pmo,979,explicit-mlp,0.03788820281624794,0.3742513060569763,0.24395649135112762
nz8wrfz7,979,explicit-mlp,0.034964047372341156,0.36020249128341675,0.19868245720863342
beps0ini,979,explicit-mlp,0.03564155474305153,0.37103527784347534,0.20458728075027466
8dklr7m5,989,explicit-transformer,0.033641066402196884,0.34250348806381226,0.1814824640750885
xpft65ds,989,explicit-transformer,0.037220459431409836,0.3382594585418701,0.18236106634140015
1bbixeoi,989,explicit-transformer,0.025975121185183525,0.34076106548309326,0.17470122873783112
p11qkwe4,989,explicit-transformer,0.024300945922732353,0.32591119408607483,0.1703745424747467
exzpio2x,989,explicit-transformer,0.035193800926208496,0.3448747396469116,0.18270334601402283
xjqbx3zf,989,explicit-transformer,0.036741383373737335,0.340385377407074,0.18570108711719513
egyq79qu,989,explicit-transformer,0.036882054060697556,0.3363402187824249,0.183321014046669
73zvvpxx,989,explicit-transformer,0.025126196444034576,0.3329276144504547,0.17374950647354126
2basow1j,989,explicit-transformer,0.027112970128655434,0.32910192012786865,0.17176292836666107
a7apygwe,989,explicit-transformer,0.028190551325678825,0.34423449635505676,0.17901217937469482
018w5ci4,969,implicit,0.014989174902439117,0.30142366886138916,0.1546047329902649
zt9iflaf,969,implicit,0.014909125864505768,0.30709147453308105,0.1565842628479004
9ppyzlmi,969,implicit,0.009949486702680588,0.2799449861049652,0.14815470576286316
b5j5fy04,969,implicit,0.009968051686882973,0.27688392996788025,0.14671389758586884
0hovqc5p,969,implicit,0.014882015995681286,0.29673144221305847,0.15449737012386322
8yi9e73l,969,implicit,0.014942530542612076,0.29009169340133667,0.15581026673316956
91e6tnul,969,implicit,0.015268768183887005,0.29036304354667664,0.1540796160697937
go8hk36k,969,implicit,0.010418886318802834,0.2732354700565338,0.1457296907901764
vn5h49xb,969,implicit,0.01023266464471817,0.2894945740699768,0.1525098979473114
g5f10e1i,969,implicit,0.010179990902543068,0.28047123551368713,0.14704753458499908
