run_id,epoch,model,context_style,val/iid_Accuracy,val/far_Accuracy,val/wide_Accuracy
eh3kfpnc,848,explicit-aux-transformer,near,0.983180582523346,0.9742223024368286,0.9697361588478088
4c23wv7v,848,explicit-aux-transformer,near,0.9846528768539429,0.9749028086662292,0.9702222943305969
5xyuty17,848,explicit-aux-transformer,near,0.9842917323112488,0.9755972623825073,0.9699861407279968
jb2cf9hc,848,explicit-aux-transformer,near,0.9838612079620361,0.9749584197998047,0.9707222580909729
a57nrrrh,848,explicit-aux-transformer,near,0.984208345413208,0.9755416512489319,0.9717084169387817
nl0o8h06,971,explicit-aux-transformer,same,0.9840834140777588,0.9766389727592468,0.9706805944442749
rfqzvqsy,971,explicit-aux-transformer,same,0.9843472838401794,0.9755139350891113,0.9707639813423157
1imqnwqk,971,explicit-aux-transformer,same,0.9850555658340454,0.9759722352027893,0.9703473448753357
azbeeiqu,971,explicit-aux-transformer,same,0.9840695261955261,0.9755972027778625,0.9706111550331116
k6ziqp9s,971,explicit-aux-transformer,same,0.9830416440963745,0.9757222533226013,0.9715416431427002
gd8lhi8d,965,explicit-known,near,0.9836806058883667,0.975319504737854,0.9706944823265076
2rxd6fm2,965,explicit-known,near,0.9851527810096741,0.9767639636993408,0.971666693687439
55528v1a,965,explicit-known,near,0.9847222566604614,0.9770139455795288,0.9716805815696716
6l6q5ybi,965,explicit-known,near,0.9846389889717102,0.9749305844306946,0.9715278744697571
mwz75jaa,965,explicit-known,near,0.9851250648498535,0.977347195148468,0.9732639789581299
2t5wbsxg,964,explicit-known,same,0.9849583506584167,0.9769722819328308,0.9718750715255737
6t89e1n3,964,explicit-known,same,0.9842778444290161,0.9761528372764587,0.9717917442321777
7142xpxl,964,explicit-known,same,0.9849722981452942,0.9758750200271606,0.972444474697113
koym0d2d,964,explicit-known,same,0.9836111068725586,0.9759584069252014,0.9707500338554382
h5ixthcp,964,explicit-known,same,0.9842917323112488,0.9757362008094788,0.9710416793823242
cz58bv8m,966,explicit-mlp,near,0.9845278263092041,0.9758195281028748,0.9705833792686462
qvicgz0e,966,explicit-mlp,near,0.9841389656066895,0.9752917289733887,0.9686805605888367
1qt05tkl,966,explicit-mlp,near,0.984000027179718,0.97623610496521,0.9707916975021362
aqv35qeo,966,explicit-mlp,near,0.98309725522995,0.9755834341049194,0.9700833559036255
vzdneu2q,966,explicit-mlp,near,0.984125018119812,0.976805567741394,0.9696666598320007
lxuo3390,938,explicit-mlp,same,0.9827638864517212,0.9760833978652954,0.968291699886322
djy4g1yr,938,explicit-mlp,same,0.9847084283828735,0.9764722585678101,0.9709722399711609
0di0wgtv,938,explicit-mlp,same,0.9841389656066895,0.9763750433921814,0.9692777991294861
jj23nruw,938,explicit-mlp,same,0.9839861392974854,0.9761528968811035,0.9696667194366455
ytg2ikbf,938,explicit-mlp,same,0.98416668176651,0.9747639894485474,0.9690555930137634
72q4gjz4,775,explicit-transformer,near,0.9844028353691101,0.9753333926200867,0.9705694913864136
d80bs668,775,explicit-transformer,near,0.9847778677940369,0.9749306440353394,0.9701389670372009
b2g33t16,775,explicit-transformer,near,0.9832361936569214,0.9745834469795227,0.9692221879959106
nydifyd8,775,explicit-transformer,near,0.9844306111335754,0.9752361178398132,0.9703888893127441
1f44vgza,775,explicit-transformer,near,0.9845694899559021,0.975694477558136,0.9706944823265076
a1ua9t4y,989,explicit-transformer,same,0.9845972061157227,0.9759166836738586,0.9721250534057617
hbwk7cde,989,explicit-transformer,same,0.9842778444290161,0.9755833745002747,0.9718473553657532
e6jq5r55,989,explicit-transformer,same,0.9850833415985107,0.9763472676277161,0.9716945290565491
fxg4jxzl,989,explicit-transformer,same,0.983625054359436,0.9748333692550659,0.9697639346122742
tsggzptl,989,explicit-transformer,same,0.9852918386459351,0.9761528372764587,0.9710832834243774
k5el8e1e,976,implicit,near,0.9859029054641724,0.9681805968284607,0.9494305849075317
it7kg14i,976,implicit,near,0.9865000247955322,0.9703333377838135,0.9495555758476257
l75e9urx,976,implicit,near,0.9861528873443604,0.9707500338554382,0.9530139565467834
0jz6i8vq,976,implicit,near,0.9866945147514343,0.9718889594078064,0.952958345413208
m6pasi2y,976,implicit,near,0.9872221946716309,0.9762500524520874,0.9568334221839905
jq0ie6me,884,implicit,same,0.9870834350585938,0.9780139327049255,0.9731805920600891
hv7mc4de,884,implicit,same,0.986625075340271,0.977652907371521,0.9727500677108765
ldxjmg5v,884,implicit,same,0.9871805906295776,0.9772222638130188,0.9734028577804565
3trv3c9b,884,implicit,same,0.9868472814559937,0.9773055911064148,0.9732223153114319
3aoioj0p,884,implicit,same,0.9869306087493896,0.9772362112998962,0.9738056063652039
