run_id,epoch,model,val/iid_MSE,val/far_MSE,val/wide_MSE
ghiyj9vd,984,explicit-mlp,0.1725405901670456,2.6358752250671387,23.897666931152344
eyn5bqrg,984,explicit-mlp,0.21250368654727936,2.692532539367676,25.93449592590332
t1e7ju5s,984,explicit-mlp,0.1816108673810959,2.6372220516204834,25.09765625
z2jnzvas,984,explicit-mlp,0.20126941800117493,2.841912031173706,23.94589614868164
0efhpsfn,984,explicit-mlp,0.19319379329681396,3.0205345153808594,27.85955238342285
n597wah0,989,explicit-transformer,0.19190829992294312,5.28131103515625,30.65367317199707
yrtcke4j,989,explicit-transformer,0.2429274618625641,5.464896202087402,29.53572654724121
6ssg6id5,989,explicit-transformer,0.18344807624816895,5.368407249450684,30.321535110473633
sas9bwhj,989,explicit-transformer,0.21673256158828735,5.437897682189941,29.462493896484375
yu7bqk9m,989,explicit-transformer,0.20014479756355286,5.471890449523926,29.314441680908203
zy3qwk4y,992,implicit,0.08123611658811569,3.99163818359375,25.904600143432617
kzbsfsjz,992,implicit,0.0905703529715538,4.211019515991211,27.27215003967285
vgylyvu4,992,implicit,0.10539223998785019,3.94317626953125,26.134096145629883
wg54jw78,992,implicit,0.08788209408521652,4.198020935058594,27.047014236450195
l06nnl42,992,implicit,0.08320361375808716,3.9325461387634277,26.06426239013672
