run_id,epoch,model,val/iid_MSE,val/far_MSE,val/wide_MSE
0f8t8nql,990,explicit-known,36.8890380859375,4.094323635101318,327.92822265625
of9eybgs,990,explicit-known,36.66872024536133,4.089140892028809,325.8382873535156
s9d12wc5,990,explicit-known,37.75874328613281,4.234193325042725,335.320556640625
wu7z5mso,990,explicit-known,36.499290466308594,4.074936389923096,324.1837463378906
vokllp0a,990,explicit-known,38.14383316040039,4.287073135375977,338.5649719238281
mfku8y84,985,explicit-mlp,39.839534759521484,6.151108741760254,542.6068115234375
bv551sbk,985,explicit-mlp,40.076541900634766,6.309149742126465,536.4494018554688
8p030g5g,985,explicit-mlp,40.0517692565918,6.121727466583252,539.9921264648438
xpa8zzv3,985,explicit-mlp,40.44797897338867,6.408493518829346,548.5802001953125
f0tuqhn7,985,explicit-mlp,40.40950393676758,5.720742225646973,509.14910888671875
ij8qiaxc,995,explicit-transformer,36.63496017456055,4.01739501953125,406.0562744140625
nefcm75z,995,explicit-transformer,37.31250762939453,4.100865364074707,425.81195068359375
6om8fi3b,995,explicit-transformer,37.301605224609375,4.1470184326171875,418.9700927734375
rxxviyej,995,explicit-transformer,38.04407501220703,4.18033504486084,411.80413818359375
4a3pzfx7,995,explicit-transformer,38.10444259643555,4.167701244354248,430.3297119140625
yg88zn7h,987,explicit-aux-transformer,38.3476448059082,4.219913959503174,425.6982421875
bim4dfyn,987,explicit-aux-transformer,37.11167526245117,4.10922384262085,409.96466064453125
o1q15i0e,987,explicit-aux-transformer,38.07720947265625,4.2163238525390625,422.00689697265625
k6cp5qgy,987,explicit-aux-transformer,36.56926345825195,4.070004940032959,418.85211181640625
4es6ax2v,987,explicit-aux-transformer,37.276771545410156,4.131490707397461,422.7479553222656
l9cey9cn,713,implicit,43.3980712890625,5.015774250030518,460.63995361328125
7ew7ykej,713,implicit,35.282501220703125,4.322127342224121,398.4729919433594
l3c13d4f,713,implicit,33.921905517578125,3.8709306716918945,379.6104431152344
rq0wjkyt,713,implicit,38.486331939697266,4.3643574714660645,425.2867431640625
j9iddnyy,713,implicit,45.957557678222656,5.452276706695557,487.8337707519531
vc7u6h4z,888,known-latent,0.016002614051103592,0.01060462836176157,222.9773712158203
2joy7hfk,888,known-latent,0.018531588837504387,0.011356907896697521,50.63896560668945
2ojb57ph,888,known-latent,0.01813589408993721,0.01103074662387371,50.10774230957031
mkuvetrk,888,known-latent,0.01595561020076275,0.010621684603393078,51.33917236328125
szf9exy5,888,known-latent,0.01892341859638691,0.010997691191732883,61.42457580566406
