run_id,epoch,model,context_style,ood_intensity,val/iid_MSE,val/wide_MSE
zq29ok4y,837,implicit,same,1.0,0.00031372177181765437,0.00031372177181765437
3qvf9jyp,837,implicit,same,1.0,0.00036423344863578677,0.00036423344863578677
crdm28f3,837,implicit,same,1.0,0.00027705729007720947,0.00027705729007720947
p2d70l1k,837,implicit,same,1.0,0.00031984219094738364,0.00031984219094738364
xyrkditb,837,implicit,same,1.0,0.0003675687767099589,0.0003675687767099589
pmygz9ch,969,implicit,same,1.5,0.0004125444102101028,0.006136385258287191
21zbqw1e,969,implicit,same,1.5,0.00040503512718714774,0.006247475743293762
g68msk29,969,implicit,same,1.5,0.0002514963271096349,0.005586107727140188
tafvnf6o,969,implicit,same,1.5,0.00021747281425632536,0.005963470321148634
vjxvzb0k,969,implicit,same,1.5,0.0004610397736541927,0.006018169689923525
wzxjjwic,971,implicit,same,2.0,0.00030066724866628647,0.03647487983107567
mwmpg62l,971,implicit,same,2.0,0.00027884115115739405,0.03500470519065857
i6eqw0ef,971,implicit,same,2.0,0.0001905231474665925,0.03258257359266281
d0n2tz2m,971,implicit,same,2.0,0.00029402849031612277,0.03482526168227196
mm88sq3e,836,implicit,same,2.5,0.00023641936422791332,0.10521822422742844
30o4qn4h,836,implicit,same,2.5,0.00035275702248327434,0.09584072977304459
p2hj6e6p,836,implicit,same,2.5,0.00025063613429665565,0.09939859807491302
t9qwc1wa,836,implicit,same,2.5,0.0003105686337221414,0.08081867545843124
1x9s95ne,836,implicit,same,2.5,0.00044843749492429197,0.09139310568571091
