run_id,epoch,model,val/iid_yq_loss,val/iid_yq_fromz_loss,val/rangeP_yq_loss,val/rangeW_yq_fromz_loss,val/compP_yq_loss,val/compW_yq_fromz_loss
d2yiuft1,96,explicit-transformer,2.507216231606435e-05,0.00015318067744374275,0.0768313780426979,0.059699006378650665,0.008093489333987236,0.007694377563893795
r30kxddh,96,explicit-transformer,2.4916416805353947e-05,0.00037865343620069325,0.07372841984033585,0.05906524881720543,0.010882948525249958,0.010805991478264332
w8x4zy5i,96,explicit-transformer,2.2164664187585004e-05,0.000431186257628724,0.08527680486440659,0.05847983434796333,0.008312921971082687,0.007471957243978977
wqvejxqx,96,explicit-transformer,2.029058123298455e-05,0.0003277785435784608,0.0791052058339119,0.04633417725563049,0.012452726252377033,0.0057681044563651085
z75hfykv,96,explicit-transformer,3.2532334444113076e-05,0.000562433444429189,0.07365494966506958,0.07407442480325699,0.009055488742887974,0.00822464283555746
