run_id,epoch,model,val/Accuracy/dataloader_idx_0,val/Accuracy/dataloader_idx_1,val/Accuracy/dataloader_idx_2
tcjlsn78,997,explicit-mlp,0.45468056201934814,0.4713194668292999,0.41011112928390503
qpktl6n3,997,explicit-mlp,0.4402777850627899,0.4623611271381378,0.3886805474758148
co9iv6ys,997,explicit-mlp,0.452833354473114,0.46937504410743713,0.4058889150619507
lmm0quyh,997,explicit-mlp,0.45072224736213684,0.4707639515399933,0.3915000259876251
cpqjywf3,997,explicit-mlp,0.4546111226081848,0.47138893604278564,0.4065972566604614
6vs3alfh,999,explicit-transformer,0.44579172134399414,0.4680972397327423,0.41086113452911377
bh2cx84i,999,explicit-transformer,0.44627782702445984,0.46734726428985596,0.40763893723487854
euuu8g4w,999,explicit-transformer,0.44393056631088257,0.46605557203292847,0.4076527953147888
ds39szls,999,explicit-transformer,0.4421805739402771,0.46533334255218506,0.40247225761413574
jqrjf9h9,999,explicit-transformer,0.44426393508911133,0.4690416753292084,0.40872225165367126
2f2aonzc,118,implicit,0.48443058133125305,0.4986111521720886,0.46480557322502136
s6efvilt,118,implicit,0.48447224497795105,0.4986528158187866,0.46658340096473694
forp12vv,118,implicit,0.4835972487926483,0.4972083270549774,0.4655972421169281
j4gtu4x7,118,implicit,0.4894444942474365,0.5004583597183228,0.471291720867157
51knzfp7,118,implicit,0.4847222566604614,0.4970972537994385,0.46493056416511536
