run_id,epoch,model,val/Accuracy/dataloader_idx_0,val/Accuracy/dataloader_idx_1,val/Accuracy/dataloader_idx_2
mbwotezs,994,explicit-known,0.34058332443237305,0.3586389422416687,0.28651392459869385
xfvnaoyw,994,explicit-known,0.3716805577278137,0.38462501764297485,0.300430566072464
v63l6qdb,994,explicit-known,0.3622777760028839,0.3744305968284607,0.3050694763660431
yy71wcce,994,explicit-known,0.3712083399295807,0.3846111595630646,0.29500001668930054
hcc9afyi,994,explicit-known,0.36984723806381226,0.3831250071525574,0.3107917010784149
1yxh7gv8,994,explicit-mlp,0.34058332443237305,0.3586389422416687,0.28651392459869385
ei9pkrek,994,explicit-mlp,0.36984723806381226,0.3831250071525574,0.3107917010784149
i8x5hep6,994,explicit-mlp,0.3716805577278137,0.38462501764297485,0.300430566072464
wfxbft4g,994,explicit-mlp,0.37206947803497314,0.38523614406585693,0.31143054366111755
80cheiz4,994,explicit-mlp,0.3622777760028839,0.3744305968284607,0.3050694763660431
1ed5i1ug,982,explicit-transformer,0.37583333253860474,0.3897777795791626,0.3339305520057678
xxcoeq12,982,explicit-transformer,0.38354170322418213,0.3982222378253937,0.32350003719329834
ovui7p85,982,explicit-transformer,0.38252779841423035,0.40312501788139343,0.34183332324028015
h0kyxsqn,982,explicit-transformer,0.39266669750213623,0.4033055603504181,0.2722916901111603
9jk7psm1,982,explicit-transformer,0.3869166970252991,0.4033750295639038,0.29193055629730225
f5pbdhh0,959,explicit-aux-transformer,0.4639861285686493,0.4704861640930176,0.4369305968284607
kls7s9on,959,explicit-aux-transformer,0.46577778458595276,0.4694027900695801,0.43663889169692993
stz17u5t,959,explicit-aux-transformer,0.46211114525794983,0.46880555152893066,0.4372222423553467
me6iksj5,959,explicit-aux-transformer,0.4597778022289276,0.4653611481189728,0.4346666932106018
h9b9j8qe,959,explicit-aux-transformer,0.4661250114440918,0.47175002098083496,0.4378194808959961
rfumq867,958,implicit,0.4739861786365509,0.48144447803497314,0.4560278058052063
d2rr1gd4,958,implicit,0.4744722545146942,0.4810138940811157,0.4576805531978607
oex8odm9,958,implicit,0.47438889741897583,0.48129168152809143,0.45694446563720703
spcfdbfi,958,implicit,0.4754028022289276,0.4802500307559967,0.4545277953147888
nzdkih1u,958,implicit,0.47345834970474243,0.4810972511768341,0.45483332872390747
pwdmwi4o,985,known-latent,0.944444477558136,0.9383195042610168,0.8669722676277161
rerifjgn,985,known-latent,0.9409722685813904,0.9313055872917175,0.8550695180892944
98wfcf5s,985,known-latent,0.9388750195503235,0.9318472743034363,0.8618611097335815
by2pv38p,985,known-latent,0.944069504737854,0.9365695118904114,0.8652361631393433
5aaerfgk,985,known-latent,0.9435694813728333,0.9356945157051086,0.8742083311080933
