run_id,epoch,model,val/Accuracy/dataloader_idx_0,val/Accuracy/dataloader_idx_1,val/Accuracy/dataloader_idx_2
x2l3c5xk,996,explicit-known,0.8643472790718079,0.8299861550331116,0.8042500615119934
zdxs8ecm,996,explicit-known,0.8627500534057617,0.8284167051315308,0.8047500252723694
rsb55650,996,explicit-known,0.8673889636993408,0.8348472118377686,0.8082916736602783
8zqe1xh3,996,explicit-known,0.8631250262260437,0.8295695185661316,0.8003056049346924
xyinhwuc,996,explicit-known,0.8638750314712524,0.8300139307975769,0.8056945204734802
noxxkfej,993,explicit-mlp,0.866361141204834,0.8312639594078064,0.8045139312744141
j7tpt31c,993,explicit-mlp,0.8643195033073425,0.8308194875717163,0.8039722442626953
zejd08tr,993,explicit-mlp,0.8636528253555298,0.8348750472068787,0.8060694932937622
u6m7q68u,993,explicit-mlp,0.861750066280365,0.8288889527320862,0.8021528124809265
f3sla2fn,993,explicit-mlp,0.8642916679382324,0.8350139260292053,0.806444525718689
36h9we3i,992,explicit-transformer,0.8676806092262268,0.8372639417648315,0.8107361197471619
nnagk7em,992,explicit-transformer,0.8679305911064148,0.837777853012085,0.8141805529594421
5udy3ja3,992,explicit-transformer,0.8714445233345032,0.8375834226608276,0.8159028887748718
8u03hkbz,992,explicit-transformer,0.8676806092262268,0.8323333859443665,0.8095278143882751
u6xhofhy,992,explicit-transformer,0.8683889508247375,0.836180567741394,0.8148055672645569
a7x5shmv,938,implicit,0.8878055810928345,0.856930673122406,0.8335973024368286
x3k7t454,938,implicit,0.8877500295639038,0.854847252368927,0.8317221999168396
u83ui138,938,implicit,0.8879028558731079,0.8565555810928345,0.8341110944747925
ljul0cf1,938,implicit,0.8882083296775818,0.8554722666740417,0.8337500691413879
4l7dlr7s,938,implicit,0.8887916803359985,0.8566111326217651,0.8345139622688293
pz83w7ob,968,known-latent,0.9122084379196167,0.9244306087493896,0.9000139832496643
3ze6wodt,968,known-latent,0.9133750200271606,0.9270139336585999,0.9032361507415771
f2vd7xdv,968,known-latent,0.9126667380332947,0.9294444918632507,0.9025555849075317
dcmicnqt,968,known-latent,0.9122222661972046,0.9240555763244629,0.8939028382301331
o7050ti7,968,known-latent,0.9110000729560852,0.9216528534889221,0.8932639360427856
