run_id,epoch,model,val/Accuracy/dataloader_idx_0,val/Accuracy/dataloader_idx_1,val/Accuracy/dataloader_idx_2
takcciy3,993,explicit-known,0.3464027941226959,0.3607916831970215,0.29297223687171936
3zpbqoar,993,explicit-known,0.3781388998031616,0.38163891434669495,0.3172639012336731
y1tpxeek,993,explicit-known,0.3765000104904175,0.3799583315849304,0.31429171562194824
a9qowkah,993,explicit-known,0.39834725856781006,0.402736097574234,0.33455556631088257
a43hehxy,993,explicit-known,0.3766528069972992,0.38191670179367065,0.30226391553878784
beklbrkr,993,explicit-mlp,0.3781388998031616,0.38163891434669495,0.3172639012336731
1xn3fb4d,993,explicit-mlp,0.34840279817581177,0.35811111330986023,0.29068058729171753
heszj5c9,993,explicit-mlp,0.3765000104904175,0.3799583315849304,0.31429171562194824
j0t3hscg,993,explicit-mlp,0.39834725856781006,0.402736097574234,0.33455556631088257
49l7wfvz,993,explicit-mlp,0.3766528069972992,0.38191670179367065,0.30226391553878784
spw1a5qn,990,explicit-transformer,0.38155558705329895,0.39156946539878845,0.3507222533226013
e015r2xv,990,explicit-transformer,0.3913611173629761,0.4016388952732086,0.3603472411632538
knzewo6t,990,explicit-transformer,0.3597361743450165,0.36751389503479004,0.3221389353275299
hnnjmmdx,990,explicit-transformer,0.36408331990242004,0.37102779746055603,0.33238890767097473
1c5zczi1,990,explicit-transformer,0.35948610305786133,0.36847224831581116,0.327875018119812
qtq2chla,710,implicit,0.45019447803497314,0.46020835638046265,0.4296111464500427
95ezedxg,710,implicit,0.4607084095478058,0.4658472537994385,0.43961113691329956
vy80ur51,710,implicit,0.4558333456516266,0.46338891983032227,0.4350694417953491
k7vnyiqm,710,implicit,0.45544448494911194,0.46461114287376404,0.4355972409248352
je03b6ak,710,implicit,0.4550555944442749,0.46213892102241516,0.4310277998447418
zjg6y3yh,993,known-latent,0.9427222609519958,0.9349305629730225,0.8673473596572876
zla92wzl,993,known-latent,0.9408472776412964,0.9349305629730225,0.8586111068725586
7hfhcnfs,993,known-latent,0.9413472414016724,0.9343056082725525,0.870638906955719
feyxvqnx,993,known-latent,0.9432223439216614,0.93645840883255,0.8645139336585999
3f7s5l41,993,known-latent,0.9440139532089233,0.936180591583252,0.8651944994926453
