run_id,epoch,model,val/Accuracy/dataloader_idx_0,val/Accuracy/dataloader_idx_1,val/Accuracy/dataloader_idx_2
cyidn8bm,886,explicit-mlp,0.7255139350891113,0.7311250567436218,0.706694483757019
ry74v869,886,explicit-mlp,0.7233194708824158,0.7312083840370178,0.705208420753479
lez3fgx5,886,explicit-mlp,0.7233750224113464,0.7318333983421326,0.7005555629730225
7jzgigqy,886,explicit-mlp,0.7232639789581299,0.7317361235618591,0.7025278210639954
558oj0u0,886,explicit-mlp,0.7294305562973022,0.7301250100135803,0.7136527895927429
xpvxblo8,697,explicit-transformer,0.7274028658866882,0.7340417504310608,0.7046389579772949
p3wd3x5a,697,explicit-transformer,0.7265139222145081,0.7357361316680908,0.7065000534057617
xw65r98k,697,explicit-transformer,0.726847231388092,0.7362500429153442,0.7115139365196228
zqqtwva6,697,explicit-transformer,0.726361095905304,0.7342361211776733,0.7038055658340454
boftpz7p,697,explicit-transformer,0.7279027700424194,0.7331666946411133,0.6929444670677185
oqvesajn,679,implicit,0.7137084007263184,0.7088195085525513,0.7057222723960876
8fmyxg1l,679,implicit,0.6985417008399963,0.7086945176124573,0.6408333778381348
fcosgc9h,679,implicit,0.7120417356491089,0.717305600643158,0.6315555572509766
l7gbwuli,679,implicit,0.6884028315544128,0.6950972676277161,0.6790695190429688
ynqe7qs0,679,implicit,0.6839166879653931,0.7026389241218567,0.6577084064483643
