"Name","State","Notes","User","Tags","Created","Runtime","Sweep","batch_size","context_style","dataset","kind","kind_kwargs","lr","max_context","min_context","model","noise","ood_styles","temperature","train_size","val_size","x_dim","y_dim","epoch","train/Accuracy","train/CE","train/MSE","train/w_MSE","trainer/global_step","val/Accuracy/dataloader_idx_0","val/Accuracy/dataloader_idx_1","val/Accuracy/dataloader_idx_2","val/CE/dataloader_idx_0","val/CE/dataloader_idx_1","val/CE/dataloader_idx_2","val/far_MSE","val/iid_MSE","val/w_loss/dataloader_idx_0","val/w_loss/dataloader_idx_1","val/w_loss/dataloader_idx_2","val/wide_MSE"
"explicit_tsf","finished","-","sarthmit","","2024-01-29T09:22:30.000Z","1503","","128","same","mlp-classification","mlp","{'hidden_dim': 64, 'layers': 1}","0.0001","128","16","explicit-transformer","","[""far"",""wide""]","0.1","1000","1000","2","2","999","0.9649149179458618","0.08849535882472992","","1.0084736347198486","6999","0.9681389331817628","0.9442222118377686","0.9358750581741332","0.0769568532705307","0.15582317113876343","0.17491187155246735","","","1.009344458580017","1.009344458580017","1.009344458580017",""
"explicit_tsf","finished","-","sarthmit","","2024-01-29T09:20:46.000Z","1240","","128","same","mlp-classification","mlp","{'hidden_dim': 64, 'layers': 1}","0.0001","128","16","explicit-transformer","","[""far"",""wide""]","0.1","1000","1000","2","10","999","0.8747816681861877","0.3537682592868805","","1.007335543632507","6999","0.8800972700119019","0.8104028105735779","0.7869445085525513","0.33226513862609863","0.6380001902580261","0.729777455329895","","","1.0081942081451416","1.0081942081451416","1.0081942081451416",""
"explicit_tsf","finished","-","sarthmit","","2024-01-29T09:19:36.000Z","1422","","128","near","mlp-classification","mlp","{'hidden_dim': 64, 'layers': 1}","0.0001","128","16","explicit-transformer","","[""far"",""wide""]","0.1","1000","1000","2","2","999","0.9801039695739746","0.05209719389677048","","1.0120052099227903","6999","0.9686805605888368","0.9457639455795288","0.935958445072174","0.0800669714808464","0.17652533948421478","0.2051919251680374","","","1.0092463493347168","1.0092463493347168","1.0092463493347168",""
"explicit_tsf","finished","-","sarthmit","","2024-01-29T09:19:21.000Z","1421","","128","near","mlp-classification","mlp","{'hidden_dim': 64, 'layers': 1}","0.0001","128","16","explicit-transformer","","[""far"",""wide""]","0.1","1000","1000","2","2","999","0.9793573021888732","0.053087539970874786","","1.0087436437606812","6999","0.967305600643158","0.9429166913032532","0.9340695142745972","0.08634128421545029","0.19129444658756256","0.21966733038425448","","","1.0095250606536863","1.0095250606536863","1.0095250606536863",""
"explicit_tsf","finished","-","sarthmit","","2024-01-29T09:19:15.000Z","1420","","128","same","mlp-classification","mlp","{'hidden_dim': 64, 'layers': 1}","0.0001","128","16","explicit-transformer","","[""far"",""wide""]","0.1","1000","1000","2","2","999","0.9640803933143616","0.08797912299633026","","1.0118577480316162","6999","0.9669722318649292","0.9451111555099488","0.936375081539154","0.07885772734880447","0.15476757287979126","0.17465828359127045","","","1.009565353393555","1.009565353393555","1.009565353393555",""
"explicit_mlp","finished","-","sarthmit","","2024-01-29T09:10:01.000Z","736","","128","same","mlp-classification","mlp","{'hidden_dim': 64, 'layers': 1}","0.0001","128","16","explicit-mlp","","[""far"",""wide""]","0.1","1000","1000","2","2","999","0.9631692171096802","0.08816881477832794","","1.0047420263290403","6999","0.9652500748634338","0.9430555701255798","0.9336667060852052","0.08460450917482376","0.16007310152053833","0.19035226106643677","","","1.0056049823760986","1.0056049823760986","1.0056049823760986",""
"explicit_mlp","finished","-","sarthmit","","2024-01-29T09:07:44.000Z","699","","128","near","mlp-classification","mlp","{'hidden_dim': 64, 'layers': 1}","0.0001","128","16","explicit-mlp","","[""far"",""wide""]","0.1","1000","1000","2","2","999","0.9780844449996948","0.056102484464645386","","1.0077338218688965","6999","0.9680694341659546","0.944652795791626","0.9292222261428832","0.08169920742511749","0.18293537199497223","0.2049620151519775","","","1.004608392715454","1.004608392715454","1.004608392715454",""
"explicit_mlp","finished","-","sarthmit","","2024-01-29T09:07:38.000Z","771","","128","same","mlp-classification","mlp","{'hidden_dim': 64, 'layers': 1}","0.0001","128","16","explicit-mlp","","[""far"",""wide""]","0.1","1000","1000","2","10","999","0.8528080582618713","0.40271300077438354","","1.0037850141525269","6999","0.8568056225776672","0.7818611860275269","0.7505139708518982","0.3939666748046875","0.7304301857948303","0.8453341126441956","","","1.0049831867218018","1.0049831867218018","1.0049831867218018",""
"explicit_mlp","finished","-","sarthmit","","2024-01-29T09:07:32.000Z","696","","128","near","mlp-classification","mlp","{'hidden_dim': 64, 'layers': 1}","0.0001","128","16","explicit-mlp","","[""far"",""wide""]","0.1","1000","1000","2","2","999","0.978427231311798","0.05632305145263672","","1.004313588142395","6999","0.9661250710487366","0.9463056325912476","0.9348472952842712","0.08715278655290604","0.1896228939294815","0.20736780762672424","","","1.0052740573883057","1.0052740573883057","1.0052740573883057",""
"explicit_mlp","finished","-","sarthmit","","2024-01-29T09:07:28.000Z","695","","128","same","mlp-classification","mlp","{'hidden_dim': 64, 'layers': 1}","0.0001","128","16","explicit-mlp","","[""far"",""wide""]","0.1","1000","1000","2","2","999","0.9617400765419006","0.09568633139133452","","1.0078933238983154","6999","0.966569483280182","0.9431528449058532","0.9339584112167358","0.08193673193454742","0.16014303267002106","0.18752051889896393","","","1.0046075582504272","1.0046075582504272","1.0046075582504272",""
