run_id,epoch,model,context_style,val/iid_MSE,val/far_MSE,val/wide_MSE
sp1ewgvh,989,explicit-known,near,0.0003632069274317473,0.0011526377638801932,0.0010092449374496937
zjx35qrj,989,explicit-known,near,0.0002677914744708687,0.0006087703513912857,0.0009067425271496177
f1p314j3,989,explicit-known,near,0.00036428318708203733,0.0008958917460404336,0.0011313805589452386
jgt76az6,989,explicit-known,near,0.0004774723493028432,0.0013803626643493772,0.0014821258373558521
wdhfr0kq,989,explicit-known,near,0.00024719323846511543,0.0006319882231764495,0.0007006722153164446
4ss1iqcy,966,explicit-known,same,0.0002817694330587983,0.0006382047431543469,0.0009129149257205427
rj8uif0r,966,explicit-known,same,0.00033690250711515546,0.0008783480152487755,0.001101663219742477
risu2qfm,966,explicit-known,same,0.00029655706021003425,0.0007899364572949708,0.0009593276190571487
d6312lk9,966,explicit-known,same,0.0003542739723343402,0.001283914316445589,0.001303264987654984
ckv046nm,966,explicit-known,same,0.0004636999510694295,0.0013687571045011282,0.00148573808837682
e1auqtqp,872,explicit-transformer,near,0.00047637097304686904,0.005956851877272129,0.20607785880565643
bisdwi2x,872,explicit-transformer,near,0.0007716096588410437,0.010963549837470055,0.17700499296188354
bxo0ew0s,872,explicit-transformer,near,0.0008596968255005777,0.010303805582225323,0.2135775238275528
94u2yav3,872,explicit-transformer,near,0.0006178432959131896,0.007626454811543226,0.190461203455925
0tz4cuju,872,explicit-transformer,near,0.0005633684922941029,0.006130366586148739,0.22991080582141876
355djb8b,989,explicit-transformer,same,0.0005480129620991647,0.00386836682446301,0.16285812854766846
v05jo6g3,989,explicit-transformer,same,0.0005414818879216909,0.004136831499636173,0.20418962836265564
xucvl1mq,989,explicit-transformer,same,0.0006805068114772439,0.0050074635073542595,0.18584264814853668
8g927opc,989,explicit-transformer,same,0.0005661424365825951,0.004792593885213137,0.1998940110206604
wfrbmi86,989,explicit-transformer,same,0.0005110509810037911,0.004603000823408365,0.18981190025806427
jh4n6wi9,945,explicit-transformer-known-context,near,0.00012582320778165013,0.0018746615387499332,0.15091770887374878
2aexzeej,945,explicit-transformer-known-context,near,8.110621274681762e-05,0.0026706072967499495,0.1265111118555069
q191j5lk,945,explicit-transformer-known-context,near,8.711764530744404e-05,0.0011827261187136173,0.19802217185497284
pjmmdkqn,945,explicit-transformer-known-context,near,0.00010486024257261306,0.0023395416792482138,0.1598561555147171
1yqo12wf,945,explicit-transformer-known-context,near,9.023033635457978e-05,0.0022493444848805666,0.13734109699726105
4urg7tlz,961,explicit-transformer-known-context,same,8.766147220740095e-05,0.002145497128367424,0.17573758959770203
ebfpd2xm,961,explicit-transformer-known-context,same,0.00010712863149819896,0.001439402811229229,0.1325148493051529
37dqbxks,961,explicit-transformer-known-context,same,0.00012900697765871882,0.0018276287009939551,0.1547953337430954
5j5odcb7,961,explicit-transformer-known-context,same,0.000118641895824112,0.0008706330554559827,0.20255371928215027
q8d6ufwh,961,explicit-transformer-known-context,same,9.001223224913701e-05,0.0013391671236604452,0.1544315069913864
2q4dn25i,934,implicit,near,0.001323116128332913,0.11430658400058746,0.22379912436008453
fij9hah3,934,implicit,near,0.0008022658876143396,0.052749138325452805,0.16846640408039093
tncqzrqx,934,implicit,near,0.0007272909278981388,0.04335926100611687,0.20653730630874634
9x9gsnar,934,implicit,near,0.0012787968153133988,0.10150660574436188,0.23092469573020935
izu5lx1y,934,implicit,near,0.0013315984979271889,0.10186569392681122,0.2592321038246155
50iq9k13,837,implicit,same,0.0003227907873224467,0.006998310796916485,0.14413103461265564
mf6vrssh,837,implicit,same,0.0003343397402204573,0.006974876392632723,0.14759010076522827
h962do7j,837,implicit,same,0.0003592712164390832,0.005893286317586899,0.1662009358406067
hg80051s,837,implicit,same,0.00028071971610188484,0.0047983815893530846,0.1675456017255783
bosucwzl,837,implicit,same,0.0003364242147654295,0.008753121830523014,0.1516260802745819
