epoch,val/acc,model
258,0.9978700280189514,explicit-mlp
258,0.998520016670227,explicit-mlp
258,0.9972000122070312,explicit-mlp
251,0.9973000288009644,explicit-transformer
251,0.9969499707221985,explicit-transformer
251,0.9963399767875671,explicit-transformer
265,0.9998999834060669,implicit
265,1.0,implicit
265,0.9994099736213684,implicit
