run_id,epoch,model,val/iid_MSE,val/far_MSE,val/wide_MSE
eqcl5pik,988,explicit-mlp,60.421546936035156,19881.703125,5354.341796875
0pygn521,988,explicit-mlp,60.421546936035156,19881.703125,5354.341796875
k3x5sr5b,988,explicit-mlp,53.60224914550781,41511.65234375,9298.470703125
r0zaaqiy,988,explicit-mlp,53.60224914550781,41511.65234375,9298.470703125
ieh5u6ed,988,explicit-mlp,66.62519836425781,203014.84375,43336.390625
3qrx1tfo,988,explicit-mlp,66.62519836425781,203014.84375,43336.390625
yibhxi4y,891,explicit-transformer,121.65062713623047,160.24575805664062,270.8580627441406
zs96ncej,891,explicit-transformer,121.65062713623047,160.24575805664062,270.8580627441406
ndz2aaal,891,explicit-transformer,308.4237976074219,98.38885498046875,307.4745788574219
o6yuz6ni,891,explicit-transformer,308.4237976074219,98.38885498046875,307.4745788574219
6pha3st7,891,explicit-transformer,115.5007095336914,204.93307495117188,296.73333740234375
vj31wj8u,891,explicit-transformer,115.5007095336914,204.93307495117188,296.73333740234375
u6crch5l,829,implicit,34.1013298034668,743.4699096679688,577.4133911132812
ktslky6r,829,implicit,34.1013298034668,743.4699096679688,577.4133911132812
9gw0047n,829,implicit,328.2398376464844,97.69793701171875,314.5068664550781
jl8ihqei,829,implicit,328.2398376464844,97.69793701171875,314.5068664550781
xp63pnpg,829,implicit,36.1380500793457,571.624267578125,470.7203674316406
zat3w0ve,829,implicit,36.1380500793457,571.624267578125,470.7203674316406
